,Zone,Resort Name,State,Base Elevation (ft),Top Elevation (ft),Snowfall Score,Total Snow Score With Preservation,Overall Ranking,Regional Ranking,State Ranking,True Snow Per Year (inches),Snow Quality Rank,Dump Potential Rank,MonthsMoreThan90Snow,MonthsLessThan30Snow,latitude,longitude,Acreage,Total Runs,Longest Run (ft),Lifts,Uphill Max (ppl/hr),Terrain Parks,Halfpipes
145,Northwest,Mt Spokane,WA,4200,5889,39.5,40.7,141,20,9,200, 146, 156,1.0,40.0,47.902261,-117.126363,1425 ,45,8000 ,5,4920  ,1,0
146,Northwest,Mission Ridge,WA,4550,6820,32.6,40.3,130,19,8,170, 147, 188,1.0,50.0,47.292853,-120.399946,2000 ,36,26400 ,6,4910  ,1,0
147,Eastern-Canada,Blue Mountain,ON,740,1482,47.5,39.5,139,4,1,110, 148, 111,0.0,75.0,44.502475,-80.314183,251 ,34,4000 ,12,18950  ,0,0
148,Rockies,Sandia Peak,NM,8678,10378,25.0,39.4,170,74,8,125, 149, 213,2.0,65.0,35.190853,-106.479332,200 ,30,13200 ,6,4500  ,1,0
149,Midwest,Indianhead,MI,1297,1935,50.4,39.3,152,2,2,210, 150, 101,1.0,37.0,46.482762,-89.971143,220 ,29,5280 ,9,10131  ,2,0
150,Midwest,Terry Peak,SD,5952,7052,28.0,39.0,189,6,1,150, 151, 205,0.0,60.0,44.334961,-103.840438,450 ,30,10560 ,4,  ,1,1
151,Rockies,Mt Lemmon,AZ,8200,9157,24.3,39.0,182,76,2,125, 152, 216,3.0,65.0,32.448525,-110.766889,200 ,22,8500 ,3,2000  ,0,0
152,East,Mad River Glen,VT,1600,3637,56.2,38.8,111,6,6,269, 153, 77,6.5,13.1,44.202774,-72.91759,115 ,45,5119 ,4,3574  ,1,0
153,Northwest,Spout Springs,OR,4890,5500,38.7,38.6,192,23,9,200, 154, 160,1.0,40.0,45.757284,-118.053088,200 ,16,528 ,4,  ,0,0
154,Midwest,Big Powderhorn,MI,600,1200,50.7,38.5,164,3,3,214, 155, 99,1.0,37.0,46.510119,-90.094181,253 ,33,5280 ,10,10800  ,2,0
155,Rockies,Soldier Mountain,ID,5752,7177,24.7,37.4,165,73,11,125, 156, 214,1.0,65.0,43.416458,-114.871079,1150 ,36,6600 ,3,  ,1,0
156,Eastern-Canada,Le Massif,QC,118,2645,48.7,37.3,128,2,2,232, 157, 107,1.5,31.2,47.277657,-70.575463,406 ,53,16737 ,5,  ,0,0
157,Canadian-Rockies,Hemlock Resort,BC,3200,4500,34.2,36.5,180,23,22,180, 158, 183,1.0,50.0,49.380311,-121.936092,300 ,34,7392 ,4,4000  ,0,0
158,Midwest,Ski Mystic Deer Mountain,SD,6000,6850,28.0,36.4,193,7,2,150, 159, 204,0.0,60.0,44.308664,-103.818422,300 ,40,5280 ,2,  ,1,0
159,East,Saddleback Maine,ME,2120,4120,41.7,36.0,159,15,3,175, 160, 140,1.0,40.0,44.952165,-70.526787,220 ,66,16368 ,5,4200  ,3,0
160,Midwest,Mount Bohemia,MI,600,1500,52.7,35.9,134,1,1,252, 161, 93,10.4,29.1,47.388108,-88.020959,450 ,85,5280 ,2,  ,0,0
161,East,Sunday River,ME,800,3140,51.1,35.8,123,8,2,150, 162, 97,0.0,55.0,44.473556,-70.85904,743 ,133,15840 ,16,30000  ,5,2
162,East,Sugarloaf,ME,1417,4237,41.1,35.7,121,7,1,173, 163, 145,0.0,40.9,45.06758,-70.31526,1056 ,153,18480 ,14,21810  ,3,0
163,Northwest,Moose Mountain,AK,685,1985,10.2,34.7,178,21,4,70, 164, 220,0.0,90.0,34.236889,-116.890694,200 ,35,7920 ,14,  ,0,0
164,Eastern-Canada,Mont-Sainte-Anne,QC,575,2625,43.1,34.5,162,7,6,184, 165, 130,1.0,55.0,47.076531,-70.907951,526 ,66,19008 ,13,18560  ,0,0
165,East,Wildcat Mountain,NH,1950,4062,46.1,34.3,149,12,1,225, 166, 123,3.0,30.0,44.300264,-71.233063,225 ,49,14520 ,4,6700  ,1,0
166,East,Bretton Woods,NH,1600,3100,47.4,34.0,163,17,3,200, 167, 114,1.0,40.0,44.257526,-71.439374,434 ,101,10560 ,10,14000  ,4,0
167,Eastern-Canada,Marble Mountain,NL,33,1791,39.5,33.9,169,8,1,200, 168, 155,1.0,40.0,48.947118,-57.831138,225 ,39,15840 ,4,6500  ,0,0
168,East,Holiday Valley,NY,1500,2250,44.8,33.9,175,22,4,180, 169, 127,1.0,50.0,42.267909,-78.667316,282 ,56,4400 ,13,23850  ,1,1
169,East,Okemo,VT,1144,3344,52.9,33.0,138,11,8,167, 170, 91,1.1,55.9,43.401961,-72.716406,632 ,119,23760 ,19,33450  ,6,1
170,Eastern-Canada,Mont Tremblant,QC,755,2871,39.7,32.7,119,1,1,156, 171, 153,0.0,60.0,46.213628,-74.58446,654 ,95,19800 ,14,27230  ,0,0
171,Rockies,Marshall Mountain,MT,3900,5400,28.6,32.5,174,75,14,150, 172, 202,0.0,60.0,46.918013,-113.907305,400 ,24,13200 ,3,  ,0,0
172,Canadian-Rockies,Troll Ski Resort,BC,3300,5000,28.0,32.4,184,24,23,150, 173, 203,0.0,60.0,53.067152,-121.942197,240 ,16,0 ,4,4100  ,0,0
173,SoCal,Mountain High,CA,6600,8200,28.7,32.1,168,3,20,120, 174, 200,4.0,69.1,34.377357,-117.691537,290 ,95,8448 ,14,16000  ,1,0
174,Northwest,Loup Loup,WA,4040,5280,26.8,31.9,191,22,10,150, 175, 209,0.0,60.0,48.366514,-119.583145,300 ,10,10560 ,3,2000  ,1,0
